"active_month","active_customers","mrr"
"2011-01-01 00:00:00","362","29211.90"
"2011-02-01 00:00:00","532","41746.95"
"2011-03-01 00:00:00","651","50836.05"
"2011-04-01 00:00:00","746","57564.25"
"2011-05-01 00:00:00","846","64896.35"
"2011-06-01 00:00:00","944","71985.10"
"2011-07-01 00:00:00","1033","78754.75"
"2011-08-01 00:00:00","1109","84868.80"
"2011-09-01 00:00:00","1189","90931.25"
"2011-10-01 00:00:00","1261","96251.90"
"2011-11-01 00:00:00","1331","101203.35"
"2011-12-01 00:00:00","1407","106865.45"
"2012-01-01 00:00:00","1483","112498.40"
"2012-02-01 00:00:00","1543","116758.25"
"2012-03-01 00:00:00","1610","121425.35"
"2012-04-01 00:00:00","1675","125833.70"
"2012-05-01 00:00:00","1755","131806.10"
"2012-06-01 00:00:00","1819","136147.20"
"2012-07-01 00:00:00","1887","141171.35"
"2012-08-01 00:00:00","1957","145961.35"
"2012-09-01 00:00:00","2037","151336.65"
"2012-10-01 00:00:00","2105","155884.65"
"2012-11-01 00:00:00","2173","160745.80"
"2012-12-01 00:00:00","2239","165563.70"
"2013-01-01 00:00:00","2303","169681.20"
"2013-02-01 00:00:00","2371","174288.40"
"2013-03-01 00:00:00","2445","178997.75"
"2013-04-01 00:00:00","2506","183343.75"
"2013-05-01 00:00:00","2557","186606.40"
"2013-06-01 00:00:00","2622","191231.95"
"2013-07-01 00:00:00","2687","195494.75"
"2013-08-01 00:00:00","2757","200348.55"
"2013-09-01 00:00:00","2821","204609.95"
"2013-10-01 00:00:00","2877","208006.70"
"2013-11-01 00:00:00","2936","211879.70"
"2013-12-01 00:00:00","3001","216098.20"
"2014-01-01 00:00:00","3051","219371.30"
"2014-02-01 00:00:00","3139","224820.20"
"2014-03-01 00:00:00","3204","229347.10"
"2014-04-01 00:00:00","3268","233600.00"
"2014-05-01 00:00:00","3337","238514.25"
"2014-06-01 00:00:00","3402","243103.30"
"2014-07-01 00:00:00","3474","248161.80"
"2014-08-01 00:00:00","3546","252553.65"
"2014-09-01 00:00:00","3603","256410.35"
"2014-10-01 00:00:00","3675","260837.40"
"2014-11-01 00:00:00","3754","265944.80"
"2014-12-01 00:00:00","3833","270657.00"
"2015-01-01 00:00:00","3927","276423.30"
"2015-02-01 00:00:00","4012","281656.10"
"2015-03-01 00:00:00","4102","287230.70"
"2015-04-01 00:00:00","4165","291394.30"
"2015-05-01 00:00:00","4236","295704.95"
"2015-06-01 00:00:00","4309","299929.45"
"2015-07-01 00:00:00","4406","305723.25"
"2015-08-01 00:00:00","4493","311174.25"
"2015-09-01 00:00:00","4573","316177.90"
"2015-10-01 00:00:00","4672","322176.55"
"2015-11-01 00:00:00","4748","326939.15"
"2015-12-01 00:00:00","4857","333486.85"
"2016-01-01 00:00:00","4974","340136.70"
"2016-02-01 00:00:00","5073","345925.50"
"2016-03-01 00:00:00","5189","352749.15"
"2016-04-01 00:00:00","5308","360194.35"
"2016-05-01 00:00:00","5431","367235.50"
"2016-06-01 00:00:00","5562","375048.65"
"2016-07-01 00:00:00","5672","381273.45"
"2016-08-01 00:00:00","5805","389386.95"
"2016-09-01 00:00:00","5981","399495.10"
"2016-10-01 00:00:00","6181","411098.10"
"2016-11-01 00:00:00","6419","424713.20"
"2016-12-01 00:00:00","7032","455661.00"
