"customerid","tenure","monthlycharges","ltv"
"7590-VHVEG",1,"29.85","29.85"
"5575-GNVDE",34,"56.95","1936.30"
"3668-QPYBK",2,"53.85","107.70"
"7795-CFOCW",45,"42.3","1903.5"
"9237-HQITU",2,"70.7","141.4"
"9305-CDSKC",8,"99.65","797.20"
"1452-KIOVK",22,"89.1","1960.2"
"6713-OKOMC",10,"29.75","297.50"
"7892-POOKP",28,"104.8","2934.4"
"6388-TABGU",62,"56.15","3481.30"
"9763-GRSKD",13,"49.95","649.35"
"7469-LKBCI",16,"18.95","303.20"
"8091-TTVAX",58,"100.35","5820.30"
"0280-XJGEX",49,"103.7","5081.3"
"5129-JLPIS",25,"105.5","2637.5"
"3655-SNQYZ",69,"113.25","7814.25"
"8191-XWSZG",52,"20.65","1073.80"
"9959-WOFKT",71,"106.7","7575.7"
"4190-MFLUW",10,"55.2","552.0"
"4183-MYFRB",21,"90.05","1891.05"
"8779-QRDMV",1,"39.65","39.65"
"1680-VDCWW",12,"19.8","237.6"
"1066-JKSGK",1,"20.15","20.15"
"3638-WEABW",58,"59.9","3474.2"
"6322-HRPFA",49,"59.6","2920.4"
"6865-JZNKO",30,"55.3","1659.0"
"6467-CHFZW",47,"99.35","4669.45"
"8665-UTDHZ",1,"30.2","30.2"
"5248-YGIJN",72,"90.25","6498.00"
"8773-HHUOZ",17,"64.7","1099.9"
"3841-NFECX",71,"96.35","6840.85"
"4929-XIHVW",2,"95.5","191.0"
"6827-IEAUQ",27,"66.15","1786.05"
"7310-EGVHZ",1,"20.2","20.2"
"3413-BMNZE",1,"45.25","45.25"
"6234-RAAPL",72,"99.9","7192.8"
"6047-YHPVI",5,"69.7","348.5"
"6572-ADKRS",46,"74.8","3440.8"
"5380-WJKOV",34,"106.35","3615.90"
"8168-UQWWF",11,"97.85","1076.35"
"8865-TNMNX",10,"49.55","495.50"
"9489-DEDVP",70,"69.2","4844.0"
"9867-JCZSP",17,"20.75","352.75"
"4671-VJLCL",63,"79.85","5030.55"
"4080-IIARD",13,"76.2","990.6"
"3714-NTNFO",49,"84.5","4140.5"
"5948-UJZLF",2,"49.25","98.50"
"7760-OYPDY",2,"80.65","161.30"
"7639-LIAYI",52,"79.75","4147.00"
"2954-PIBKO",69,"64.15","4426.35"
"8012-SOUDQ",43,"90.25","3880.75"
"9420-LOJKX",15,"99.1","1486.5"
"6575-SUVOI",25,"69.5","1737.5"
"7495-OOKFY",8,"80.65","645.20"
"4667-QONEA",60,"74.85","4491.00"
"1658-BYGOY",18,"95.45","1718.10"
"8769-KKTPH",63,"99.65","6277.95"
"5067-XJQFU",66,"108.45","7157.70"
"3957-SQXML",34,"24.95","848.30"
"5954-BDFSG",72,"107.5","7740.0"
"0434-CSFON",47,"100.5","4723.5"
"1215-FIGMP",60,"89.9","5394.0"
"0526-SXDJP",72,"42.1","3031.2"
"0557-ASKVU",18,"54.4","979.2"
"5698-BQJOH",9,"94.4","849.6"
"5122-CYFXA",3,"75.3","225.9"
"8627-ZYGSZ",47,"78.9","3708.3"
"3410-YOQBQ",31,"79.2","2455.2"
"3170-NMYVV",50,"20.15","1007.50"
"7410-OIEDU",10,"79.85","798.50"
"2273-QCKXA",1,"49.05","49.05"
"0731-EBJQB",52,"20.4","1060.8"
"1891-QRQSA",64,"111.6","7142.4"
"8028-PNXHQ",62,"24.25","1503.50"
"5630-AHZIL",3,"64.5","193.5"
"2673-CXQEU",56,"110.5","6188.0"
"6416-JNVRK",46,"55.65","2559.90"
"5590-ZSKRV",8,"54.65","437.20"
"0191-ZHSKZ",30,"74.75","2242.50"
"3887-PBQAO",45,"25.9","1165.5"
"5919-TMRGD",1,"79.35","79.35"
"8108-UXRQN",11,"50.55","556.05"
"9191-MYQKX",7,"75.15","526.05"
"9919-YLNNG",42,"103.8","4359.6"
"0318-ZOPWS",49,"20.15","987.35"
"4445-ZJNMU",9,"99.3","893.7"
"4808-YNLEU",35,"62.15","2175.25"
"1862-QRWPE",48,"20.65","991.20"
"2796-NNUFI",46,"19.95","917.70"
"3016-KSVCP",29,"33.75","978.75"
"4767-HZZHQ",30,"82.05","2461.50"
"2424-WVHPL",1,"74.7","74.7"
"7233-PAHHL",66,"84","5544"
"6067-NGCEU",65,"111.05","7218.25"
"9848-JQJTX",72,"100.9","7264.8"
"8637-XJIVR",12,"78.95","947.40"
"9803-FTJCG",71,"66.85","4746.35"
"0278-YXOOG",5,"21.05","105.25"
"3212-KXOCR",52,"21","1092"
"4598-XLKNJ",25,"98.5","2462.5"
"6380-ARCEH",1,"20.2","20.2"
"3679-XASPY",1,"19.45","19.45"
"7123-WQUHX",38,"95","3610"
"5386-THSLQ",66,"45.55","3006.30"
"3192-NQECA",68,"110","7480"
"6180-YBIQI",5,"24.3","121.5"
"6728-DKUCO",72,"104.15","7498.80"
"9750-BOOHV",32,"30.15","964.80"
"8597-CWYHH",43,"94.35","4057.05"
"2848-YXSMW",72,"19.4","1396.8"
"0486-HECZI",55,"96.75","5321.25"
"4549-ZDQYY",52,"57.95","3013.40"
"5712-AHQNN",43,"91.65","3940.95"
"4846-WHAFZ",37,"76.5","2830.5"
"5256-SKJGO",64,"54.6","3494.4"
"3071-VBYPO",3,"89.85","269.55"
"9560-BBZXK",36,"31.05","1117.80"
"5299-RULOA",10,"100.25","1002.50"
"8402-OOOHJ",41,"20.65","846.65"
"9445-ZUEQE",27,"85.2","2300.4"
"1091-SOZGA",56,"99.8","5588.8"
"2928-HLDBA",6,"20.7","124.2"
"0404-SWRVG",3,"74.4","223.2"
"6497-TILVL",7,"50.7","354.9"
"7219-TLZHO",4,"20.85","83.40"
"4622-YNKIJ",33,"88.95","2935.35"
"4412-YLTKF",27,"78.05","2107.35"
"6734-PSBAW",72,"23.55","1695.60"
"3930-ZGWVE",1,"19.75","19.75"
"2639-UGMAZ",71,"56.45","4007.95"
"2876-GZYZC",13,"85.95","1117.35"
"6207-WIOLX",25,"58.6","1465.0"
"8587-XYZSF",67,"50.55","3386.85"
"3091-FYHKI",1,"35.45","35.45"
"2372-HWUHI",2,"44.35","88.70"
"7799-LGRDP",43,"25.7","1105.1"
"7850-VWJUU",23,"75","1725"
